parentid,title,objectid,date,creator,date-is-approximate?,description,subject,object_location,source,identifier,type,format,language,rights,rightsstatement,display_template,image_small,image_thumb,image_alt_text,object_transcript
,BTAA GDP Accession Guidelines for ArcGIS Open Data Portals,r-2018-005,2018-05,ArcGIS Working Group,,,,/objects/accession-guidelines-v1.pdf,https://docs.google.com/document/d/1-zXMRKaT6MZEO18erXdN76y76QQzqMwGqygKKXFrLZU/edit?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/accession-guidelines-v1_sm.jpg,/objects/thumbs/accession-guidelines-v1_th.jpg,,
,Analytics Working Group Final Report,r-2018-003,2018-06,Analytics Working Group,,Report of what analytics information to collect for the BTAA Geoportal,Working Group report; Analytics,/objects/analytics-report.pdf,https://drive.google.com/file/d/1EA42kNs9R8ZeBznujSTQRHH5cbfgcbFV/view?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/analytics-report_sm.jpg,/objects/thumbs/analytics-report_th.jpg,,
,Best Practices for ArcGIS Hub/Open Data Portals ,r-2018-004,2018-06,ArcGIS Working Group,,This guide presents publishing workflows that improve the stability of data identifiers and maximize benefits from metadata of resources on ArcGIS Hub / Open Data Portals.,Working Group report;Best practices,/objects/best-practices-odp.pdf,https://docs.google.com/document/d/1x6ZIlRXAv63y1Dqnvr4BFdEwvtQ5XXgdaZNwj8C2Tek/edit,,text,application/pdf,eng,,,pdf,/objects/small/best-practices-odp_sm.jpg,/objects/thumbs/best-practices-odp_th.jpg,,
,User Personas for the BTAA Geoportal,r-2018-001,2018-09,User Personas & Stories Working Group,,Illustration of our audience and stakeholders for guiding development of the geoportal and potential project expansion.,Working Group report,/objects/btaagdp_user-personas.pdf,https://drive.google.com/drive/folders/1dolXNBZPU3baiuB5m37kq5-18ovXLgD_,,text,application/pdf,eng,,,pdf,/objects/small/btaagdp_user-personas_sm.jpg,/objects/thumbs/btaagdp_user-personas_th.jpg,,
,Maintaining Access To Ephemeral Resources vs Archived Data,r-2018-002,2018-06,"Majewicz, Karen",,This document compares the BTAA GDP staff time required for maintaining access to ephemeral resources vs archiving them in a spatial repository. It does not estimate costs for building a spatial repository or additional staff or training that it might require. a university-managed spatial repository and providing stable linkages. ,Report;Archiving,/objects/ephemeral-resources.pdf,https://docs.google.com/document/d/1wN3Q6AKRMI_m1cUs9Mrh1Tp0H2dx0OglnznCePJt27U/edit?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/ephemeral-resources_sm.jpg,/objects/thumbs/ephemeral-resources_th.jpg,,
,Open Data Portal Survey Summary,r-2018-006,2018-05,ArcGIS Working Group,,,,/objects/arcgis-odp-survey.pdf,https://docs.google.com/document/d/1eBd0Ezhk3tHN-LUapZIGbUPDL9tEokKtReUtgsFQPkE/edit?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/arcgis-odp-survey_sm.jpg,/objects/thumbs/arcgis-odp-survey_th.jpg,,
,Web Services Report,r-2019-001,2019-10,,,,,/objects/web-services-report.pdf,https://docs.google.com/document/d/1vnBHhew-cfY6F80SOLj94NJ1x-D67EOHqct-qo2-vvY/edit?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/web-services-report_sm.jpg,/objects/thumbs/web-services-report_th.jpg,,
,Potential expansion directions for BTAA Geospatial Data Project,r-2019-002,2019-10,Strategic Leadership Group Working Group,,,,/objects/slg-expansion-proposals.pdf,https://drive.google.com/file/d/1VVYgHSAHnI6PKdFSdBNJD_O9F4qI5iLf/view,,text,application/pdf,eng,,,pdf,/objects/small/slg-expansion-proposals_sm.jpg,/objects/thumbs/slg-expansion-proposals_th.jpg,,
,Guide to Citing Geospatial Data,r-2019-003,2019-08,Metadata Committee,,,,/objects/guide-citing-data.pdf,https://docs.google.com/document/d/1dsmchOhRTK4qzMAr3FvYyea1xHtC5r0Tw1xYGDYBTks/edit?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/guide-citing-data_sm.jpg,/objects/thumbs/guide-citing-data_th.jpg,,
,A Spatial Data Infrastructure (SDI) for the BTAA,r-2019-004,2019-03,,,,,/objects/sdi-btaa.pdf,https://docs.google.com/document/d/1XZkJjRVMkNDX_a-kvmKTtSMf8MeN467yJzHB1r32U2w/edit?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/sdi-btaa_sm.jpg,/objects/thumbs/sdi-btaa_th.jpg,,
,Communication Strategy 2019,r-2019-005,2019-01,Communications Committee,,,,/objects/communications-strategy-2019.pdf,https://drive.google.com/open?id=1nBWhMIYBpLhU9HNt8RTp0Jbw2zHTrYzo,,text,application/pdf,eng,,,pdf,/objects/small/communications-strategy-2019_sm.jpg,/objects/thumbs/communications-strategy-2019_th.jpg,,
,Web Services ArcGIS Online Pilot Report,r-2020-001,2020-05,Web Services Working Group,,,,/objects/web-services-arcgis-pilot.pdf,https://docs.google.com/document/d/1REtud_N2gtw2rL2atKCAzYoaF3NlxYa8wSxfmz6eUVM/edit?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/web-services-arcgis-pilot_sm.jpg,/objects/thumbs/web-services-arcgis-pilot_th.jpg,,
,"Impact Report, BTAA Geospatial Data Project: May 2020",r-2020-002,2020-05,Impact Report Working Group,,,,/objects/impact-report-2020.pdf,https://drive.google.com/open?id=1D20pCiBhUCl1G6hxml46HigpAMAQvGqG,,text,application/pdf,eng,,,pdf,/objects/small/impact-report-2020_sm.jpg,/objects/thumbs/impact-report-2020_th.jpg,,
,BTAA Geoportal Collection Development Policy,r-2020-003,2020-02,Collections Development Working Group,,,,,https://docs.google.com/document/d/1FeUUz3bGlZe24EC4iuP0949LOAJxdTWAJ2pZaR9X0sE/edit?usp=sharing,,text,application/pdf,eng,,,pdf,,,,
,Maps Scanning Workflow Working Group Final Report,r-2020-004,2020-01,Maps Scanning Working Group,,,,/objects/map-scanning-workflow.pdf,https://drive.google.com/open?id=1tvVIEXNzZbWNaausVv8xwOLIbt_olRey,,text,application/pdf,eng,,,pdf,/objects/small/map-scanning-workflow_sm.jpg,/objects/thumbs/map-scanning-workflow_th.jpg,,
,Diverse Collections Working Group Summary Report: December 2021,r-2021-001,2021-12,Diverse Collections Working Group,,,,/objects/diverse-collections-report.pdf,https://drive.google.com/file/d/1ma1Wki6u62q0Zym_6yQ8okqEjplCl9p1/view?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/diverse-collections-report_sm.jpg,/objects/thumbs/diverse-collections-report_th.jpg,,
,Licensed Data Working Group Final Report,r-2021-002,2021-01,Licensed Data Working Group,,,,/objects/licensed-data-implementation.pdf,https://drive.google.com/file/d/1AFJqeAnJsPwdKv6ub1J8nu3ZgILNEBL8/view?usp=sharing,,text,application/pdf,eng,,,pdf,/objects/small/licensed-data-implementation_sm.jpg,/objects/thumbs/licensed-data-implementation_th.jpg,,
,BTAA GIS Conference 2022 Wrap-Up Report,r-2022-001,2022-12,BTAA GIS Conference Planning Group,,,,/objects/btaa-gis-conference-2022-report.pdf,https://docs.google.com/document/d/e/2PACX-1vRlAs9NgVnuf1Ozjv-_h9VbFl-FLo03addSGw4jbMf9vNpZ7T_xjWnyEZPGV2W04VRP_vqcbJ5Jp02R/pub,,text,application/pdf,eng,,,pdf,/objects/small/btaa-gis-conference-2022-report_sm.jpg,/objects/thumbs/btaa-gis-conference-2022-report_th.jpg,,
,Best Practices for Inputting Creator Field Data,r-2022-002,2022-12,Creator Normalization Working Group,,,,/objects/best-practices-creator.pdf,https://docs.google.com/document/d/e/2PACX-1vRgUFOAKtnoZOp3GR7XWAC-3hmG3I0yP7wwoB8RLKQLe-yxAwbIXxFk9AsX16y1HlRLSxgKWwhs64Ol/pub,,text,application/pdf,eng,,,pdf,/objects/small/best-practices-creator_sm.jpg,/objects/thumbs/best-practices-creator_th.jpg,,
,"OpenRefine + FAST process (+ VIAF, Wikidata, TGN)",r-2022-003,2022-12,Creator Normalization Working Group,,,,,https://docs.google.com/document/d/1TS3DRvfhlcQpWHgs1Rft7LFv2uS9Mj7ByBTQlMiYPlI/edit#heading=h.y25up2bi03vo,,text,application/pdf,eng,,,pdf,,,,
,"Final Report, Original Content Working Group: October 2022",r-2022-004,2022-10,Original Content Working Group,,,,/objects/original-content-report.pdf,https://docs.google.com/document/d/e/2PACX-1vQnmyeVST1dsMQP0BIklNieu-fZNav2WYlQr3QHrp_qQ-SCBoGpmwsdHzZSQnkufqsfcdMWAMJwLYjc/pub,,text,application/pdf,eng,,,pdf,/objects/small/original-content-report_sm.jpg,/objects/thumbs/original-content-report_th.jpg,,
,Final Report: Land Acknowledgement Working Group,r-2022-005,2022-08,Land Acknowledgement Working Group,,,,/objects/land-acknowledgement-wg-report.pdf,https://docs.google.com/document/d/e/2PACX-1vTenGnM0Ps9-VzeeJ0rTfx23mrppsiKKhrdbZwRQd9PzaxDV15oe5PY-SH0-IUQUHepNDf-YVpr8Mty/pub,,text,application/pdf,eng,,,pdf,/objects/small/land-acknowledgement-wg-report_sm.jpg,/objects/thumbs/land-acknowledgement-wg-report_th.jpg,,
,testing html,r-test,,,,,,/objects/README.md,,,,,,,,,,,,